id,uid,expt_id,duration,true,pred,age,gender,expert,filename
1417,5ec43865db1cd15d3edcfa6335391f56,2,500,0,0,31,female,0,gan-blur/gan-blur-31.jpg
1418,5ec43865db1cd15d3edcfa6335391f56,2,500,0,0,31,female,0,gan-blur/gan-blur-28.jpg
1419,5ec43865db1cd15d3edcfa6335391f56,2,500,0,1,31,female,0,gan-blur/gan-blur-25.jpg
1420,5ec43865db1cd15d3edcfa6335391f56,2,500,0,1,31,female,0,gan-blur/gan-blur-5.jpg
1421,5ec43865db1cd15d3edcfa6335391f56,2,500,1,0,31,female,0,real-blur/real-blur-25.jpg
1422,5ec43865db1cd15d3edcfa6335391f56,2,500,1,1,31,female,0,real-blur/real-blur-51.jpg
1423,9f0cca83115c4fc014073fbc310bea58,2,250,0,0,47,male,0,gan-blur/gan-blur-13.jpg
1424,9f0cca83115c4fc014073fbc310bea58,2,250,1,0,47,male,0,real-blur/real-blur-10.jpg
1425,9f0cca83115c4fc014073fbc310bea58,2,250,1,1,47,male,0,real-blur/real-blur-45.jpg
1426,9f0cca83115c4fc014073fbc310bea58,2,250,0,0,47,male,0,gan-blur/gan-blur-33.jpg
1427,9f0cca83115c4fc014073fbc310bea58,2,250,1,0,47,male,0,real-blur/real-blur-16.jpg
1428,9f0cca83115c4fc014073fbc310bea58,2,250,1,0,47,male,0,real-blur/real-blur-55.jpg
1429,4c082b3c3c72b3c1741c505f253770ba,2,1000,0,0,23,male,0,gan-blur/gan-blur-1.jpg
1430,4c082b3c3c72b3c1741c505f253770ba,2,1000,0,0,23,male,0,gan-blur/gan-blur-13.jpg
1431,4c082b3c3c72b3c1741c505f253770ba,2,1000,1,0,23,male,0,real-blur/real-blur-49.jpg
1432,4c082b3c3c72b3c1741c505f253770ba,2,1000,0,0,23,male,0,gan-blur/gan-blur-40.jpg
1433,4c082b3c3c72b3c1741c505f253770ba,2,1000,1,1,23,male,0,real-blur/real-blur-6.jpg
1434,4c082b3c3c72b3c1741c505f253770ba,2,1000,1,0,23,male,0,real-blur/real-blur-68.jpg
1435,f8f609c46b2d586299d84d608b06bac1,2,500,0,1,49,male,0,gan-blur/gan-blur-7.jpg
1436,f8f609c46b2d586299d84d608b06bac1,2,500,1,1,49,male,0,real-blur/real-blur-10.jpg
1437,f8f609c46b2d586299d84d608b06bac1,2,500,0,0,49,male,0,gan-blur/gan-blur-17.jpg
1438,f8f609c46b2d586299d84d608b06bac1,2,500,1,1,49,male,0,real-blur/real-blur-66.jpg
1439,f8f609c46b2d586299d84d608b06bac1,2,500,0,0,49,male,0,gan-blur/gan-blur-19.jpg
1440,f8f609c46b2d586299d84d608b06bac1,2,500,0,1,49,male,0,gan-blur/gan-blur-30.jpg
1441,d705844fc653f27afc107201cacd0daa,2,5000,0,0,99,other,0,gan-blur/gan-blur-8.jpg
